Date,Holiday
12/31/2010,New Year's Day
1/17/2011,"Birthday of Martin Luther King, Jr."
2/21/2011,Washington's Birthday
5/30/2011,Memorial Day
7/4/2011,Independence Day
9/5/2011,Labor Day
10/10/2011,Columbus Day
11/11/2011,Veterans Day
11/24/2011,Thanksgiving Day
12/26/2011,Christmas Day
1/2/2012,New Year's Day
1/16/2012,"Birthday of Martin Luther King, Jr."
2/20/2012,Washington's Birthday
5/28/2012,Memorial Day
7/4/2012,Independence Day
9/3/2012,Labor Day
10/8/2012,Columbus Day
11/12/2012,Veterans Day
11/22/2012,Thanksgiving Day
12/25/2012,Christmas Day
1/1/2013,New Year's Day
1/21/2013,"Birthday of Martin Luther King, Jr."
2/18/2013,Washington's Birthday
5/27/2013,Memorial Day
7/4/2013,Independence Day
9/2/2013,Labor Day
10/14/2013,Columbus Day
11/11/2013,Veterans Day
11/28/2013,Thanksgiving Day
12/25/2013,Christmas Day
1/1/2014,New Year's Day
1/20/2014,"Birthday of Martin Luther King, Jr."
2/17/2014,Washington's Birthday
5/26/2014,Memorial Day
7/4/2014,Independence Day
9/1/2014,Labor Day
10/13/2014,Columbus Day
11/11/2014,Veterans Day
11/27/2014,Thanksgiving Day
12/25/2014,Christmas Day
1/1/2015,New Year's Day
1/19/2015,"Birthday of Martin Luther King, Jr."
2/16/2015,Washington's Birthday
5/25/2015,Memorial Day
7/3/2015,Independence Day
9/7/2015,Labor Day
10/12/2015,Columbus Day
11/11/2015,Veterans Day
11/26/2015,Thanksgiving Day
12/25/2015,Christmas Day
1/1/2016,New Year's Day
1/18/2016,"Birthday of Martin Luther King, Jr."
2/15/2016,Washington's Birthday
5/30/2016,Memorial Day
7/4/2016,Independence Day
9/5/2016,Labor Day
10/10/2016,Columbus Day
11/11/2016,Veterans Day
11/24/2016,Thanksgiving Day
12/26/2016,Christmas Day
1/2/2017,New Year's Day
1/16/2017,"Birthday of Martin Luther King, Jr."
2/20/2017,Washington's Birthday
5/29/2017,Memorial Day
7/4/2017,Independence Day
9/4/2017,Labor Day
10/9/2017,Columbus Day
11/10/2017,Veterans Day
11/23/2017,Thanksgiving Day
12/25/2017,Christmas Day
1/1/2018,New Year's Day
1/15/2018,"Birthday of Martin Luther King, Jr."
2/19/2018,Washington's Birthday
5/28/2018,Memorial Day
7/4/2018,Independence Day
9/3/2018,Labor Day
10/8/2018,Columbus Day
11/12/2018,Veterans Day
11/22/2018,Thanksgiving Day
12/25/2018,Christmas Day
1/1/2019,New Year's Day
1/21/2019,"Birthday of Martin Luther King, Jr."
2/18/2019,Washington's Birthday
5/27/2019,Memorial Day
7/4/2019,Independence Day
9/2/2019,Labor Day
10/14/2019,Columbus Day
11/11/2019,Veterans Day
11/28/2019,Thanksgiving Day
12/25/2019,Christmas Day
1/1/2020,New Year's Day
1/20/2020,"Birthday of Martin Luther King, Jr."
2/17/2020,Washington's Birthday
5/25/2020,Memorial Day
7/3/2020,Independence Day
9/7/2020,Labor Day
10/12/2020,Columbus Day
11/11/2020,Veterans Day
11/26/2020,Thanksgiving Day
12/25/2020,Christmas Day
1/1/2010,New Year’s Day
1/18/2010,"Martin Luther King, Jr. Day"
2/15/2010,Washington’s Birthday
5/31/2010,Memorial Day
7/5/2010,Independence Day
9/6/2010,Labor Day
10/11/2010,Columbus Day
11/11/2010,Veterans Day
11/25/2010,Thanksgiving Day
12/25/2010,Christmas Day
1/1/2009,New Year’s Day
1/19/2009,"Martin Luther King, Jr. Day"
2/16/2009,Washington’s Birthday
5/25/2009,Memorial Day
7/3/2009,Independence Day
9/7/2009,Labor Day
10/12/2009,Columbus Day
11/11/2009,Veterans Day
11/26/2009,Thanksgiving Day
12/25/2009,Christmas Day
1/1/2008,New Year’s Day
1/21/2008,"Martin Luther King, Jr. Day"
2/18/2008,Washington’s Birthday
5/26/2008,Memorial Day
7/4/2008,Independence Day
9/1/2008,Labor Day
10/13/2008,Columbus Day
11/11/2008,Veterans Day
11/27/2008,Thanksgiving Day
12/25/2008,Christmas Day
1/1/2007,New Year’s Day
1/15/2007,"Martin Luther King, Jr. Day"
2/19/2007,Washington’s Birthday
5/28/2007,Memorial Day
7/4/2007,Independence Day
9/3/2007,Labor Day
10/8/2007,Columbus Day
11/11/2007,Veterans Day
11/22/2007,Thanksgiving Day
12/25/2007,Christmas Day
1/1/2006,New Year’s Day
1/16/2006,"Martin Luther King, Jr. Day"
2/20/2006,Washington’s Birthday
5/29/2006,Memorial Day
7/4/2006,Independence Day
9/4/2006,Labor Day
10/9/2006,Columbus Day
11/11/2006,Veterans Day
11/23/2006,Thanksgiving Day
12/25/2006,Christmas Day
1/1/2005,New Year’s Day
1/17/2005,"Martin Luther King, Jr. Day"
2/21/2005,Washington’s Birthday
5/30/2005,Memorial Day
7/4/2005,Independence Day
9/5/2005,Labor Day
10/10/2005,Columbus Day
11/11/2005,Veterans Day
11/24/2005,Thanksgiving Day
12/25/2005,Christmas Day
1/1/2004,New Year’s Day
1/19/2004,"Martin Luther King, Jr. Day"
2/16/2004,Washington’s Birthday
5/31/2004,Memorial Day
7/4/2004,Independence Day
9/6/2004,Labor Day
10/11/2004,Columbus Day
11/11/2004,Veterans Day
11/25/2004,Thanksgiving Day
12/25/2004,Christmas Day
1/1/2003,New Year’s Day
1/20/2003,"Martin Luther King, Jr. Day"
2/17/2003,Washington’s Birthday
5/26/2003,Memorial Day
7/4/2003,Independence Day
9/1/2003,Labor Day
10/13/2003,Columbus Day
11/11/2003,Veterans Day
11/27/2003,Thanksgiving Day
12/25/2003,Christmas Day
1/1/2002,New Year’s Day
1/21/2002,"Martin Luther King, Jr. Day"
2/18/2002,Washington’s Birthday
5/27/2002,Memorial Day
7/4/2002,Independence Day
9/2/2002,Labor Day
10/14/2002,Columbus Day
11/11/2002,Veterans Day
11/28/2002,Thanksgiving Day
12/25/2002,Christmas Day
1/1/2001,New Year’s Day
1/15/2001,"Martin Luther King, Jr. Day"
2/19/2001,Washington’s Birthday
5/28/2001,Memorial Day
7/4/2001,Independence Day
9/3/2001,Labor Day
10/8/2001,Columbus Day
11/11/2001,Veterans Day
11/22/2001,Thanksgiving Day
12/25/2001,Christmas Day
1/1/2000,New Year’s Day
1/17/2000,"Martin Luther King, Jr. Day"
2/21/2000,Washington’s Birthday
5/29/2000,Memorial Day
7/4/2000,Independence Day
9/4/2000,Labor Day
10/9/2000,Columbus Day
11/11/2000,Veterans Day
11/23/2000,Thanksgiving Day
12/25/2000,Christmas Day
1/1/1999,New Year’s Day
1/18/1999,"Martin Luther King, Jr. Day"
2/15/1999,Washington’s Birthday
5/31/1999,Memorial Day
7/4/1999,Independence Day
9/6/1999,Labor Day
10/11/1999,Columbus Day
11/11/1999,Veterans Day
11/25/1999,Thanksgiving Day
12/25/1999,Christmas Day
1/1/1998,New Year’s Day
1/19/1998,"Martin Luther King, Jr. Day"
2/16/1998,Washington’s Birthday
5/25/1998,Memorial Day
7/4/1998,Independence Day
9/7/1998,Labor Day
10/12/1998,Columbus Day
11/11/1998,Veterans Day
11/26/1998,Thanksgiving Day
12/25/1998,Christmas Day
1/1/1997,New Year’s Day
1/20/1997,"Martin Luther King, Jr. Day"
2/17/1997,Washington’s Birthday
5/26/1997,Memorial Day
7/4/1997,Independence Day
9/1/1997,Labor Day
10/13/1997,Columbus Day
11/11/1997,Veterans Day
11/27/1997,Thanksgiving Day
12/25/1997,Christmas Day
1/1/1996,New Year’s Day
1/15/1996,"Martin Luther King, Jr. Day"
2/19/1996,Washington’s Birthday
5/27/1996,Memorial Day
7/4/1996,Independence Day
9/2/1996,Labor Day
10/14/1996,Columbus Day
11/11/1996,Veterans Day
11/28/1996,Thanksgiving Day
12/25/1996,Christmas Day
1/1/1995,New Year’s Day
1/16/1995,"Martin Luther King, Jr. Day"
2/20/1995,Washington’s Birthday
5/29/1995,Memorial Day
7/4/1995,Independence Day
9/4/1995,Labor Day
10/9/1995,Columbus Day
11/11/1995,Veterans Day
11/23/1995,Thanksgiving Day
12/25/1995,Christmas Day
1/1/1994,New Year’s Day
1/17/1994,"Martin Luther King, Jr. Day"
2/21/1994,Washington’s Birthday
5/30/1994,Memorial Day
7/4/1994,Independence Day
9/5/1994,Labor Day
10/10/1994,Columbus Day
11/11/1994,Veterans Day
11/24/1994,Thanksgiving Day
12/25/1994,Christmas Day
1/1/1993,New Year’s Day
1/18/1993,"Martin Luther King, Jr. Day"
2/15/1993,Washington’s Birthday
5/31/1993,Memorial Day
7/4/1993,Independence Day
9/6/1993,Labor Day
10/11/1993,Columbus Day
11/11/1993,Veterans Day
11/25/1993,Thanksgiving Day
12/25/1993,Christmas Day
1/1/1992,New Year’s Day
1/20/1992,"Martin Luther King, Jr. Day"
2/17/1992,Washington’s Birthday
5/25/1992,Memorial Day
7/4/1992,Independence Day
9/7/1992,Labor Day
10/12/1992,Columbus Day
11/11/1992,Veterans Day
11/26/1992,Thanksgiving Day
12/25/1992,Christmas Day
1/1/1991,New Year’s Day
1/21/1991,"Martin Luther King, Jr. Day"
2/18/1991,Washington’s Birthday
5/27/1991,Memorial Day
7/4/1991,Independence Day
9/2/1991,Labor Day
10/14/1991,Columbus Day
11/11/1991,Veterans Day
11/28/1991,Thanksgiving Day
12/25/1991,Christmas Day
1/1/1990,New Year’s Day
1/15/1990,"Martin Luther King, Jr. Day"
2/19/1990,Washington’s Birthday
5/28/1990,Memorial Day
7/4/1990,Independence Day
9/3/1990,Labor Day
10/8/1990,Columbus Day
11/11/1990,Veterans Day
11/22/1990,Thanksgiving Day
12/25/1990,Christmas Day
1/1/1989,New Year’s Day
1/16/1989,"Martin Luther King, Jr. Day"
2/20/1989,Washington’s Birthday
5/29/1989,Memorial Day
7/4/1989,Independence Day
9/4/1989,Labor Day
10/9/1989,Columbus Day
11/11/1989,Veterans Day
11/23/1989,Thanksgiving Day
12/25/1989,Christmas Day
1/1/1988,New Year’s Day
1/18/1988,"Martin Luther King, Jr. Day"
2/15/1988,Washington’s Birthday
5/30/1988,Memorial Day
7/4/1988,Independence Day
9/5/1988,Labor Day
10/10/1988,Columbus Day
11/11/1989,Veterans Day
11/24/1988,Thanksgiving Day
12/25/1988,Christmas Day
1/1/1987,New Year’s Day
1/19/1987,"Martin Luther King, Jr. Day"
2/16/1987,Washington’s Birthday
5/25/1987,Memorial Day
7/4/1987,Independence Day
9/7/1987,Labor Day
10/12/1987,Columbus Day
11/11/1987,Veterans Day
11/26/1987,Thanksgiving Day
12/25/1987,Christmas Day
1/1/1986,New Year’s Day
1/20/1986,"Martin Luther King, Jr. Day"
2/17/1986,Washington’s Birthday
5/26/1986,Memorial Day
7/4/1986,Independence Day
9/1/1986,Labor Day
10/13/1986,Columbus Day
11/11/1986,Veterans Day
11/27/1986,Thanksgiving Day
12/25/1986,Christmas Day
1/1/1985,New Year’s Day
1/21/1985,"Martin Luther King, Jr. Day"
2/18/1985,Washington’s Birthday
5/27/1985,Memorial Day
7/4/1985,Independence Day
9/2/1985,Labor Day
10/14/1985,Columbus Day
11/11/1985,Veterans Day
11/28/1985,Thanksgiving Day
12/25/1985,Christmas Day
1/1/1984,New Year’s Day
2/20/1984,Washington’s Birthday
5/28/1984,Memorial Day
7/4/1984,Independence Day
9/3/1984,Labor Day
10/8/1984,Columbus Day
11/11/1984,Veterans Day
11/22/1984,Thanksgiving Day
12/25/1984,Christmas Day
1/1/1983,New Year’s Day
2/21/1983,Washington’s Birthday
5/30/1983,Memorial Day
7/4/1983,Independence Day
9/5/1983,Labor Day
10/10/1983,Columbus Day
11/11/1983,Veterans Day
11/24/1983,Thanksgiving Day
12/25/1983,Christmas Day
1/1/1982,New Year’s Day
2/15/1982,Washington’s Birthday
5/31/1982,Memorial Day
7/4/1982,Independence Day
9/6/1982,Labor Day
10/11/1982,Columbus Day
11/11/1982,Veterans Day
11/25/1982,Thanksgiving Day
12/25/1982,Christmas Day
1/1/1981,New Year’s Day
2/16/1981,Washington’s Birthday
5/25/1981,Memorial Day
7/4/1981,Independence Day
9/7/1981,Labor Day
10/12/1981,Columbus Day
11/11/1981,Veterans Day
11/26/1981,Thanksgiving Day
12/25/1981,Christmas Day
1/1/1980,New Year’s Day
2/18/1980,Washington’s Birthday
5/26/1980,Memorial Day
7/4/1980,Independence Day
9/1/1980,Labor Day
10/13/1980,Columbus Day
11/11/1980,Veterans Day
11/27/1980,Thanksgiving Day
12/25/1980,Christmas Day
1/1/1979,New Year’s Day
2/19/1979,Washington’s Birthday
5/28/1979,Memorial Day
7/4/1979,Independence Day
9/3/1979,Labor Day
10/8/1979,Columbus Day
11/11/1979,Veterans Day
11/22/1979,Thanksgiving Day
12/25/1979,Christmas Day
1/1/1978,New Year’s Day
2/20/1978,Washington’s Birthday
5/29/1978,Memorial Day
7/4/1978,Independence Day
9/4/1978,Labor Day
10/9/1978,Columbus Day
11/11/1978,Veterans Day
11/23/1978,Thanksgiving Day
12/25/1978,Christmas Day
1/1/1977,New Year’s Day
2/21/1977,Washington’s Birthday
5/30/1977,Memorial Day
7/4/1977,Independence Day
9/5/1977,Labor Day
10/10/1977,Columbus Day
11/11/1977,Veterans Day
11/24/1977,Thanksgiving Day
12/25/1977,Christmas Day
1/1/1976,New Year’s Day
2/16/1976,Washington’s Birthday
5/31/1976,Memorial Day
7/4/1976,Independence Day
9/6/1976,Labor Day
10/11/1976,Columbus Day
11/11/1976,Veterans Day
11/25/1976,Thanksgiving Day
12/25/1976,Christmas Day
1/1/1975,New Year’s Day
2/17/1975,Washington’s Birthday
5/26/1975,Memorial Day
7/4/1975,Independence Day
9/1/1975,Labor Day
10/13/1975,Columbus Day
11/11/1975,Veterans Day
11/27/1975,Thanksgiving Day
12/25/1975,Christmas Day
1/1/1974,New Year’s Day
2/18/1974,Washington’s Birthday
5/27/1974,Memorial Day
7/4/1974,Independence Day
9/2/1974,Labor Day
10/14/1974,Columbus Day
11/11/1974,Veterans Day
11/28/1974,Thanksgiving Day
12/25/1974,Christmas Day
1/1/1973,New Year’s Day
2/19/1973,Washington’s Birthday
5/28/1973,Memorial Day
7/4/1973,Independence Day
9/3/1973,Labor Day
10/8/1973,Columbus Day
11/11/1973,Veterans Day
11/22/1973,Thanksgiving Day
12/25/1973,Christmas Day
1/1/1972,New Year’s Day
2/21/1972,Washington’s Birthday
5/29/1972,Memorial Day
7/4/1972,Independence Day
9/4/1972,Labor Day
10/9/1972,Columbus Day
11/11/1972,Veterans Day
11/23/1972,Thanksgiving Day
12/25/1972,Christmas Day
1/1/1966,New Year’s Day
2/22/1966,Washington’s Birthday
7/4/1966,Independence Day
9/5/1966,Labor Day
10/12/1966,Columbus Day
11/11/1966,Veterans Day
11/24/1966,Thanksgiving Day
12/25/1966,Christmas Day
